id,symbol,target_fiscal_year,target_fiscal_period,snapshot_date,source,revenue_est_as_reported,eps_est_as_reported,num_analysts_revenue,num_analysts_eps,cumulative_split_factor,eps_est_current,revenue_est_current,pulled_at
138,META,2024,Q3,2026-06-09,FMP_earnings_company,40.202943776,5.25,,,1,5.2500000000000000,40.202943776,2026-06-09 11:40:00.107912+08
139,META,2024,Q4,2026-06-09,FMP_earnings_company,47.004057689,6.75,,,1,6.7500000000000000,47.004057689,2026-06-09 11:40:00.107912+08
140,META,2025,Q1,2026-06-09,FMP_earnings_company,41.339201062,5.23,,,1,5.2300000000000000,41.339201062,2026-06-09 11:40:00.107912+08
141,META,2025,Q2,2026-06-09,FMP_earnings_company,44.821438597,5.88,,,1,5.8800000000000000,44.821438597,2026-06-09 11:40:00.107912+08
142,META,2025,Q3,2026-06-09,FMP_earnings_company,49.508128269,6.72,,,1,6.7200000000000000,49.508128269,2026-06-09 11:40:00.107912+08
143,META,2025,Q4,2026-06-09,FMP_earnings_company,58.3301,8.19,,,1,8.1900000000000000,58.3301,2026-06-09 11:40:00.107912+08
144,META,2026,Q1,2026-06-09,FMP_earnings_company,55.55659,6.7,,,1,6.7000000000000000,55.55659,2026-06-09 11:40:00.107912+08
25,MSFT,2020,Q4,2026-06-09,FMP_earnings_company,34.907,1.34,,,1,1.34000000000000000000,34.907,2026-06-09 11:40:00.107912+08
26,MSFT,2021,Q1,2026-06-09,FMP_earnings_company,31.438,1.54,,,1,1.54000000000000000000,31.438,2026-06-09 11:40:00.107912+08
27,MSFT,2021,Q2,2026-06-09,FMP_earnings_company,40.1896,1.64,,,1,1.64000000000000000000,40.1896,2026-06-09 11:40:00.107912+08
28,MSFT,2021,Q3,2026-06-09,FMP_earnings_company,41.0328,1.78,,,1,1.78000000000000000000,41.0328,2026-06-09 11:40:00.107912+08
29,MSFT,2021,Q4,2026-06-09,FMP_earnings_company,43.9627,1.92,,,1,1.92000000000000000000,43.9627,2026-06-09 11:40:00.107912+08
30,MSFT,2022,Q1,2026-06-09,FMP_earnings_company,44.0022,2.07,,,1,2.0700000000000000,44.0022,2026-06-09 11:40:00.107912+08
31,MSFT,2022,Q2,2026-06-09,FMP_earnings_company,50.738946323,2.31,,,1,2.3100000000000000,50.738946323,2026-06-09 11:40:00.107912+08
32,MSFT,2022,Q3,2026-06-09,FMP_earnings_company,49.022594536,2.19,,,1,2.1900000000000000,49.022594536,2026-06-09 11:40:00.107912+08
33,MSFT,2022,Q4,2026-06-09,FMP_earnings_company,52.384293387,2.29,,,1,2.2900000000000000,52.384293387,2026-06-09 11:40:00.107912+08
34,MSFT,2023,Q1,2026-06-09,FMP_earnings_company,49.609203885,2.3,,,1,2.3000000000000000,49.609203885,2026-06-09 11:40:00.107912+08
35,MSFT,2023,Q2,2026-06-09,FMP_earnings_company,52.986736747,2.29,,,1,2.2900000000000000,52.986736747,2026-06-09 11:40:00.107912+08
36,MSFT,2023,Q3,2026-06-09,FMP_earnings_company,51.0176,2.23,,,1,2.2300000000000000,51.0176,2026-06-09 11:40:00.107912+08
37,MSFT,2023,Q4,2026-06-09,FMP_earnings_company,55.4702,2.55,,,1,2.5500000000000000,55.4702,2026-06-09 11:40:00.107912+08
38,MSFT,2024,Q1,2026-06-09,FMP_earnings_company,54.489,2.65,,,1,2.6500000000000000,54.489,2026-06-09 11:40:00.107912+08
39,MSFT,2024,Q2,2026-06-09,FMP_earnings_company,56.2393,2.78,,,1,2.7800000000000000,56.2393,2026-06-09 11:40:00.107912+08
